CRS_DEP_TIME,CRS_ARR_TIME,DISTANCE,DAY_OF_WEEK,origin_lat,origin_lng,dest_lat,dest_lng,arrivedLate
925,1238,1576,6,18.4394,66.0019,39.8722,75.2408,0
1900,2125,787,7,39.1753,76.6683,28.4294,81.3089,1
930,1316,1182,7,29.9933,90.2581,40.6397,73.7789,0
1630,1805,432,6,39.7172,86.2947,33.6367,84.4281,0
1535,1700,332,5,42.16,76.8917,42.2125,83.3533,0
1140,1255,323,1,38.8522,77.0378,39.9981,82.8919,1
1215,1528,918,6,32.8969,97.0381,30.4942,81.6878,0
1500,1705,787,2,28.4294,81.3089,39.1753,76.6683,1
1115,1242,836,2,39.8617,104.6731,47.62,117.5339,0
810,1007,1384,4,35.3931,97.6008,37.6189,122.375,1
1440,1724,1028,6,26.6832,80.0956,40.6397,73.7789,1
1815,2028,679,1,46.9164,114.0906,39.8617,104.6731,0
1225,1500,978,6,47.45,122.3117,33.6756,117.8683,0
755,1048,951,1,39.8722,75.2408,26.6832,80.0956,1
1900,2202,1065,6,40.6925,74.1686,26.0726,80.1528,1
1855,2145,2342,2,26.0726,80.1528,33.9425,118.4072,1
2210,30,763,7,36.08,115.1522,45.5883,122.5975,0
1855,2220,957,7,37.7214,122.2208,39.8617,104.6731,1
1450,1636,783,5,41.9389,72.6833,41.9808,87.9067,0
2150,2320,480,1,32.7336,117.1897,38.6956,121.5908,1
1735,1907,363,4,34.0561,117.6011,37.6189,122.375,0
1525,1641,253,3,30.5328,91.15,29.9844,95.3414,0
925,1308,1182,6,29.9933,90.2581,40.6397,73.7789,0
2005,2125,337,7,33.9425,118.4072,37.6189,122.375,1
1245,1552,1237,3,26.0726,80.1528,42.3631,71.0064,0
1240,1515,1190,1,38.9475,77.46,29.9844,95.3414,1
1620,1725,236,3,33.9425,118.4072,36.08,115.1522,0
1245,1455,696,2,37.3628,121.9292,47.45,122.3117,1
514,551,102,6,21.3187,157.9225,21.976,159.3389,0
706,810,181,1,33.4536,93.9911,32.8969,97.0381,1
1920,2307,1107,4,47.45,122.3117,33.4342,112.0117,1
1705,2014,1999,5,39.1753,76.6683,33.4342,112.0117,1
930,1215,925,3,39.1753,76.6683,26.0726,80.1528,0
705,842,335,5,40.7772,73.8725,40.4914,80.2328,0
2200,2255,113,7,39.8617,104.6731,41.3119,105.675,0
2100,509,2475,7,33.9425,118.4072,40.6397,73.7789,0
1243,1345,187,5,40.6397,73.7789,42.3631,71.0064,1
535,925,1107,6,47.45,122.3117,33.4342,112.0117,0
1850,2022,819,4,39.8617,104.6731,34.0561,117.6011,0
2330,710,2182,6,47.45,122.3117,33.6367,84.4281,0
1620,653,4962,2,21.3187,157.9225,40.6925,74.1686,0
900,1034,337,1,33.9425,118.4072,37.6189,122.375,1
730,854,184,4,42.3631,71.0064,40.7772,73.8725,0
1815,2010,867,2,42.3631,71.0064,41.9808,87.9067,1
1950,2143,666,4,33.6367,84.4281,39.8722,75.2408,1
1632,1719,163,3,21.3187,157.9225,19.7388,156.0456,1
2232,557,2052,2,33.9425,118.4072,41.4094,81.855,0
810,950,491,4,36.1244,86.6783,39.2975,94.7139,1
1205,1305,554,4,40.4914,80.2328,38.7486,90.37,1
2115,2330,829,5,39.7172,86.2947,28.4294,81.3089,1
700,820,342,3,37.3628,121.9292,33.6756,117.8683,0
934,1245,867,7,41.9808,87.9067,42.3631,71.0064,NA
1015,1331,2496,3,42.3631,71.0064,47.45,122.3117,0
1025,1428,1303,7,32.8969,97.0381,39.8722,75.2408,1
1530,1632,204,4,25.7932,80.2906,27.9756,82.5333,1
2159,2341,549,2,42.2125,83.3533,41.9389,72.6833,0
840,948,651,6,33.4342,112.0117,37.6189,122.375,0
1748,2046,1127,1,26.0726,80.1528,42.2125,83.3533,1
1025,1408,1121,6,32.8969,97.0381,25.7932,80.2906,0
1815,2125,879,1,33.4342,112.0117,32.8472,96.8517,1
1904,2054,646,7,33.6367,84.4281,24.5561,81.7594,0
705,915,1105,2,26.0726,80.1528,30.1944,97.67,0
1315,1436,187,5,42.3631,71.0064,40.6397,73.7789,0
1704,1752,495,4,35.3931,97.6008,39.8617,104.6731,0
1550,1851,761,6,35.3931,97.6008,33.6367,84.4281,0
1900,2005,239,5,32.8472,96.8517,29.6456,95.2789,1
630,900,834,4,33.9425,118.4072,45.5883,122.5975,0
620,744,353,3,37.7214,122.2208,33.8178,118.1517,0
923,1155,448,3,30.5328,91.15,33.6367,84.4281,0
1035,1500,1562,5,32.8969,97.0381,42.3631,71.0064,0
955,1300,726,4,44.8819,93.2217,40.4914,80.2328,0
615,852,746,2,40.6925,74.1686,33.6367,84.4281,0
1235,1526,944,7,40.6397,73.7789,28.4294,81.3089,0
1703,1755,532,4,40.7883,111.9778,38.6956,121.5908,0
1050,1340,589,2,36.2819,94.3069,33.6367,84.4281,0
1719,1915,964,1,25.7932,80.2906,29.9844,95.3414,0
700,812,184,2,40.7772,73.8725,42.3631,71.0064,0
845,945,98,3,42.2125,83.3533,43.5328,84.0797,1
945,1251,1065,4,40.6925,74.1686,26.0726,80.1528,0
705,1000,641,6,42.9472,87.8967,39.1753,76.6683,0
525,700,224,6,47.62,117.5339,47.45,122.3117,0
820,1115,2295,2,39.1753,76.6683,32.7336,117.1897,0
1525,1821,1448,5,47.45,122.3117,61.1744,149.9964,1
2215,2357,1337,5,35.2139,80.9431,39.8617,104.6731,0
1740,1850,342,2,41.3031,95.8942,38.7486,90.37,0
1330,1630,680,6,39.8617,104.6731,44.8819,93.2217,1
1140,1905,2106,4,36.08,115.1522,39.1753,76.6683,1
1130,1350,1020,5,40.7772,73.8725,44.8819,93.2217,0
540,905,998,7,29.9933,90.2581,39.1753,76.6683,0
1940,2045,236,5,36.08,115.1522,33.9425,118.4072,1
1450,1755,872,4,33.4342,112.0117,30.1944,97.67,0
1500,1812,2454,6,40.6925,74.1686,33.9425,118.4072,0
1400,1545,602,4,33.4342,112.0117,39.8617,104.6731,1
1005,1315,1416,1,40.7772,73.8725,29.9844,95.3414,1
1538,1651,224,3,32.8969,97.0381,29.9844,95.3414,1
2030,2136,588,2,40.7883,111.9778,33.6756,117.8683,0
1957,2140,448,4,38.7486,90.37,44.8819,93.2217,0
1245,1527,503,5,44.8819,93.2217,39.7172,86.2947,1
835,1130,857,5,38.8522,77.0378,26.6832,80.0956,0
1042,1215,331,6,34.9911,78.8803,33.6367,84.4281,0
1710,2100,1182,5,29.9933,90.2581,40.6397,73.7789,1
2020,2326,2248,2,40.6397,73.7789,36.08,115.1522,0
2100,2347,1440,5,41.9808,87.9067,33.4342,112.0117,1
1135,1350,986,2,39.9981,82.8919,29.9844,95.3414,0
815,955,543,1,45.5883,122.5975,37.7214,122.2208,0
2315,50,526,3,33.6367,84.4281,40.4914,80.2328,0
1150,1435,1005,5,27.9756,82.5333,40.6397,73.7789,0
1814,2125,1927,2,39.8722,75.2408,40.7883,111.9778,1
915,1745,2586,3,37.6189,122.375,40.6397,73.7789,0
600,712,977,2,39.7172,86.2947,39.8617,104.6731,0
1230,1340,314,5,41.4094,81.855,39.1753,76.6683,1
1112,1909,2296,1,37.6189,122.375,35.2139,80.9431,0
700,815,319,5,32.8472,96.8517,31.9425,102.2019,0
1128,1319,1045,1,18.4394,66.0019,25.7932,80.2906,1
650,850,822,7,29.5336,98.4697,36.1244,86.6783,0
1600,1850,646,1,37.7214,122.2208,33.4342,112.0117,1
710,1040,991,2,45.5883,122.5975,39.8617,104.6731,0
817,859,484,3,33.6367,84.4281,38.7486,90.37,0
810,1030,2139,6,33.6367,84.4281,37.6189,122.375,0
1400,1525,853,5,39.8617,104.6731,32.7336,117.1897,1
814,931,306,1,33.6367,84.4281,36.0978,79.9372,0
1905,2221,748,1,36.1244,86.6783,40.6925,74.1686,0
1430,1539,270,5,33.6367,84.4281,30.4942,81.6878,0
1255,1455,547,6,38.8522,77.0378,33.6367,84.4281,1
1437,1659,420,4,39.8617,104.6731,37.65,97.4331,0
1030,1222,1007,5,41.9808,87.9067,39.6414,106.9175,0
1845,1935,533,1,39.2975,94.7139,39.8617,104.6731,1
810,1625,2402,3,47.45,122.3117,40.6925,74.1686,0
946,1138,1379,7,29.9844,95.3414,33.9425,118.4072,0
1240,1623,946,5,35.0425,89.9767,40.6925,74.1686,1
1605,1744,1379,6,29.9844,95.3414,33.9425,118.4072,1
1440,1500,370,5,33.4342,112.0117,33.9425,118.4072,1
1825,2118,590,5,33.9425,118.4072,40.7883,111.9778,0
1645,2027,1119,3,32.8969,97.0381,26.0726,80.1528,1
935,1330,775,3,36.08,115.1522,33.6636,101.8228,0
1750,2010,1587,7,33.6367,84.4281,33.4342,112.0117,0
1533,2214,2153,3,33.4342,112.0117,40.6397,73.7789,0
800,1115,2454,5,40.6925,74.1686,33.9425,118.4072,1
625,1120,1246,2,33.9425,118.4072,32.8472,96.8517,0
2025,2150,446,6,37.7214,122.2208,32.7336,117.1897,0
1350,1950,1843,4,45.5883,122.5975,29.6456,95.2789,0
900,1052,545,1,26.6832,80.0956,33.6367,84.4281,0
1540,1646,977,1,39.7172,86.2947,39.8617,104.6731,0
1335,1520,569,5,37.3628,121.9292,45.5883,122.5975,1
1150,1230,484,3,33.6367,84.4281,38.7486,90.37,0
1955,2111,236,2,33.9425,118.4072,36.08,115.1522,0
1420,1735,895,7,39.8617,104.6731,41.7861,87.7525,1
1915,2050,444,6,33.6367,84.4281,27.3954,82.5544,0
1559,1704,227,5,33.6367,84.4281,36.4753,82.4075,0
946,1158,298,6,39.8617,104.6731,38.8422,99.2731,1
1826,2154,2584,5,26.0726,80.1528,37.6189,122.375,1
1355,1500,634,5,38.8522,77.0378,42.9472,87.8967,1
610,917,1062,1,41.4094,81.855,26.0726,80.1528,0
955,1444,1475,1,35.2139,80.9431,18.4394,66.0019,0
1652,1824,304,5,38.0364,84.6058,33.6367,84.4281,1
1525,1828,641,7,39.8617,104.6731,32.8969,97.0381,0
550,830,954,4,47.45,122.3117,33.9425,118.4072,0
1026,1300,972,5,28.4294,81.3089,41.0669,73.7075,1
1945,2119,447,1,37.6189,122.375,32.7336,117.1897,0
1900,2011,247,4,32.8969,97.0381,29.5336,98.4697,1
835,908,368,5,40.7883,111.9778,36.08,115.1522,0
1105,1330,867,1,47.45,122.3117,36.08,115.1522,1
1510,1710,545,5,26.6832,80.0956,33.6367,84.4281,0
600,908,783,1,41.9808,87.9067,41.9389,72.6833,1
635,849,261,7,33.8297,116.5067,33.4342,112.0117,0
1305,1436,306,1,38.1742,85.7364,42.2125,83.3533,0
715,855,436,2,42.9472,87.8967,39.2975,94.7139,1
825,1120,1127,5,26.0726,80.1528,42.2125,83.3533,0
2020,2248,408,2,44.8819,93.2217,42.8808,85.5228,0
1205,1310,647,3,33.4342,112.0117,38.6956,121.5908,0
839,1418,1504,4,37.6189,122.375,30.1944,97.67,1
1910,2048,563,1,41.4094,81.855,42.3631,71.0064,0
1526,1607,102,5,21.3187,157.9225,21.976,159.3389,0
735,914,888,2,41.9808,87.9067,39.8617,104.6731,0
1809,2120,1389,3,40.7772,73.8725,32.8969,97.0381,1
1002,1000,134,4,33.6367,84.4281,33.5639,86.7522,0
839,1124,456,5,36.1244,86.6783,42.2125,83.3533,0
2055,2258,759,7,28.4294,81.3089,38.8522,77.0378,1
1925,2358,1597,3,29.9844,95.3414,42.3631,71.0064,1
1425,1720,950,4,40.7772,73.8725,28.4294,81.3089,0
1120,1255,447,6,32.7336,117.1897,37.6189,122.375,0
1000,1120,351,5,38.7486,90.37,36.1983,95.8881,0
1702,1807,590,4,40.7883,111.9778,33.9425,118.4072,0
815,1300,1571,7,38.9475,77.46,18.4394,66.0019,0
1730,1850,386,7,37.3628,121.9292,36.08,115.1522,0
615,804,489,7,30.4733,87.1867,29.9844,95.3414,0
810,925,682,3,39.1753,76.6683,33.5639,86.7522,0
805,1025,793,2,41.7861,87.7525,32.8472,96.8517,1
600,1016,2300,4,42.3631,71.0064,33.4342,112.0117,0
2145,25,1246,5,39.1753,76.6683,29.6456,95.2789,0
1215,1440,899,5,26.0726,80.1528,38.8522,77.0378,0
1435,1600,846,7,39.8617,104.6731,33.6756,117.8683,0
825,1010,1747,4,33.6367,84.4281,36.08,115.1522,0
745,940,689,6,39.2975,94.7139,29.9933,90.2581,0
1320,1540,468,2,41.7861,87.7525,42.9406,78.7322,0
1110,1705,1728,6,32.7336,117.1897,41.7861,87.7525,0
830,1418,1535,3,33.9425,118.4072,44.8819,93.2217,1
1145,1445,1959,4,36.1244,86.6783,37.7214,122.2208,0
1920,2040,373,2,33.9425,118.4072,38.6956,121.5908,1
1403,2011,1969,1,40.7883,111.9778,40.6925,74.1686,1
1558,1638,94,3,18.4394,66.0019,17.7016,64.8017,1
836,1114,895,5,41.4094,81.855,28.4294,81.3089,0
826,1039,1927,7,42.2125,83.3533,47.45,122.3117,0
1345,1548,569,6,39.0489,84.6678,40.6925,74.1686,0
1105,1202,541,4,40.7883,111.9778,33.8297,116.5067,1
2015,2222,547,1,38.8522,77.0378,33.6367,84.4281,0
1001,1102,119,1,44.8819,93.2217,43.8792,91.2567,0
1154,1350,1005,1,28.4294,81.3089,41.9808,87.9067,0
2245,14,299,5,41.9808,87.9067,41.5339,93.6631,NA
845,1213,1185,7,42.3631,71.0064,27.9756,82.5333,0
